"Old Path","Old URL","New URL","Associated Type","Associated ID"
/shop-for-plants/all-plants/warneckii-goldstar-large/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/all-plants/warneckii-goldstar-large/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/warneckii-goldstar-large/,Product,133
/shop-for-plants/all-plants/variegated-arboricola-column/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/all-plants/variegated-arboricola-column/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/variegated-arboricola-column/,Product,132
/shop-for-plants/all-plants/ponytail-palm-large/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/all-plants/ponytail-palm-large/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/ponytail-palm-large/,Product,131
/shop-for-plants/all-plants/marginata-dragon-tree/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/all-plants/marginata-dragon-tree/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/marginata-dragon-tree/,Product,130
/shop-for-plants/all-plants/premium-corn-plant/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/all-plants/premium-corn-plant/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/premium-corn-plant/,Product,129
/shop-for-plants/all-plants/large-yucca-cane/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/all-plants/large-yucca-cane/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/large-yucca-cane/,Product,128
/shop-for-plants/all-plants/kentia-palm-large/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/all-plants/kentia-palm-large/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/kentia-palm-large/,Product,127
/shop-for-plants/all-plants/bambusa-vulgaris-indoor-bamboo/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/all-plants/bambusa-vulgaris-indoor-bamboo/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/bambusa-vulgaris-indoor-bamboo/,Product,125
/shop-for-plants/all-plants/philodendron-monstera/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/all-plants/philodendron-monstera/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/philodendron-monstera/,Product,124
/shop-for-plants/all-plants/large-sansevieria/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/all-plants/large-sansevieria/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/large-sansevieria/,Product,122
/shop-for-plants/all-plants/areca-palm/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/all-plants/areca-palm/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/areca-palm/,Product,121
/shop-for-plants/all-plants/medium-closet-plant-peace-lily/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/all-plants/medium-closet-plant-peace-lily/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/medium-closet-plant-peace-lily/,Product,120
/shop-for-plants/all-plants/warneckii-goldstar-medium/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/all-plants/warneckii-goldstar-medium/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/warneckii-goldstar-medium/,Product,119
/shop-for-plants/all-plants/jade-plant/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/all-plants/jade-plant/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/jade-plant/,Product,118
/shop-for-plants/all-plants/small-lady-palm-rhapis-palm/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/all-plants/small-lady-palm-rhapis-palm/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/small-lady-palm-rhapis-palm/,Product,117
/shop-for-plants/all-plants/parlor-palm/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/all-plants/parlor-palm/,http://houston-interior-plants.mybigcommerce.com/shop-for-plants/parlor-palm/,Product,116
